id,question,label
285,Is the 2nd email body small?,1
286,Is the 1st email body large?,1
287,Is the 1st email body medium?,0
288,Is the 3rd email body medium?,1
289,Is the 1st email body medium?,0
290,Is the 1st email body small?,1
291,Is the 3rd email body medium?,0
292,Is the 1st email body small?,0
293,Is the 3rd email body large?,0
294,Is the 1st email body small?,0
295,Is the 1st email body small?,1
296,Is the 2nd email body small?,0
297,Is the 1st email body small?,1
298,Is the 2nd email body medium?,1
299,Is the 3rd email body small?,1
300,Is the 1st email body small?,1
301,Is the 3rd email body medium?,0
302,Is the 2nd email body small?,1
303,Is the 2nd email body large?,0
304,Is the 2nd email body medium?,1
305,Is the 2nd email body medium?,1
306,Is the 2nd email body medium?,1
307,Is the 2nd email body medium?,1
308,Is the 3rd email body medium?,0
309,Is the 1st email body small?,1
310,Is the 2nd email body large?,1
311,Is the 3rd email body large?,1
312,Is the 2nd email body small?,1
313,Is the 3rd email body small?,1
314,Is the 3rd email body small?,0
315,Is the 3rd email body medium?,0
316,Is the 2nd email body medium?,0
317,Is the 3rd email body small?,0
318,Is the 1st email body medium?,1
319,Is the 3rd email body large?,0
320,Is the 3rd email body large?,1
321,Is the 2nd email body large?,0
322,Is the 3rd email body small?,0
323,Is the 3rd email body medium?,0
324,Is the 3rd email body large?,0
325,Is the 2nd email body large?,1
326,Is the 1st email body medium?,0
327,Is the 2nd email body medium?,1
328,Is the 2nd email body large?,0
329,Is the 1st email body small?,1
330,Is the 2nd email body medium?,1
331,Is the 3rd email body medium?,1
332,Is the 3rd email body large?,0
333,Is the 1st email body small?,1
334,Is the 1st email body small?,1
335,Is the 3rd email body large?,0
336,Is the 3rd email body large?,1
337,Is the 2nd email body medium?,0
338,Is the 2nd email body medium?,1
339,Is the 1st email body large?,1
340,Is the 1st email body medium?,1
341,Is the 2nd email body medium?,0
342,Is the 2nd email body medium?,1
343,Is the 3rd email body small?,1
344,Is the 1st email body small?,1
345,Is the 2nd email body medium?,1
346,Is the 1st email body small?,1
347,Is the 2nd email body medium?,0
348,Is the 2nd email body medium?,0
349,Is the 1st email body small?,0
350,Is the 1st email body large?,1
351,Is the 2nd email body small?,0
352,Is the 1st email body medium?,0
353,Is the 2nd email body small?,0
354,Is the 2nd email body small?,0
355,Is the 1st email body large?,0
356,Is the 3rd email body medium?,0
357,Is the 3rd email body large?,0
358,Is the 1st email body large?,0
359,Is the 2nd email body medium?,0
360,Is the 1st email body medium?,1
361,Is the 3rd email body large?,1
362,Is the 3rd email body small?,0
363,Is the 3rd email body small?,0
364,Is the 3rd email body small?,1
365,Is the 3rd email body large?,1
366,Is the 1st email body small?,0
367,Is the 3rd email body small?,0
368,Is the 2nd email body small?,1
369,Is the 1st email body small?,0
370,Is the 1st email body medium?,1
371,Is the 2nd email body large?,0
372,Is the 3rd email body large?,1
373,Is the 3rd email body small?,0
374,Is the 3rd email body small?,0
375,Is the 3rd email body medium?,0
376,Is the 1st email body small?,1
377,Is the 1st email body large?,1
378,Is the 3rd email body large?,1
379,Is the 2nd email body large?,1
380,Is the 3rd email body medium?,0
381,Is the 2nd email body large?,0
382,Is the 2nd email body medium?,0
383,Is the 2nd email body medium?,0
384,Is the 1st email body large?,0
385,Is the 1st email body large?,1
386,Is the 1st email body large?,0
387,Is the 2nd email body small?,0
388,Is the 3rd email body large?,0
389,Is the 2nd email body large?,1
390,Is the 2nd email body small?,0
391,Is the 2nd email body small?,0
392,Is the 3rd email body medium?,1
393,Is the 3rd email body small?,1
394,Is the 1st email body small?,0
395,Is the 2nd email body small?,0
396,Is the 2nd email body medium?,0
397,Is the 2nd email body small?,1
398,Is the 1st email body small?,1
399,Is the 2nd email body small?,1
400,Is the 2nd email body small?,1
401,Is the 2nd email body small?,0
402,Is the 1st email body medium?,1
403,Is the 1st email body medium?,1
404,Is the 3rd email body medium?,1
405,Is the 2nd email body small?,0
406,Is the 1st email body medium?,1
407,Is the 1st email body small?,0
408,Is the 3rd email body small?,0
409,Is the 1st email body large?,1
410,Is the 2nd email body large?,0
411,Is the 2nd email body small?,1
412,Is the 1st email body medium?,0
413,Is the 2nd email body small?,0
414,Is the 1st email body medium?,0
415,Is the 3rd email body small?,0
416,Is the 2nd email body small?,0
417,Is the 3rd email body small?,1
418,Is the 3rd email body small?,0
419,Is the 2nd email body medium?,1
420,Is the 2nd email body large?,0
421,Is the 2nd email body large?,1
422,Is the 1st email body small?,0
423,Is the 1st email body medium?,0
424,Is the 3rd email body large?,0
425,Is the 3rd email body small?,1
426,Is the 2nd email body large?,1
427,Is the 2nd email body medium?,1
428,Is the 1st email body large?,0
429,Is the 1st email body small?,0
430,Is the 1st email body large?,1
431,Is the 2nd email body small?,1
432,Is the 3rd email body medium?,1
433,Is the 2nd email body large?,0
434,Is the 3rd email body medium?,1
435,Is the 1st email body medium?,1
436,Is the 3rd email body small?,1
437,Is the 3rd email body medium?,1
438,Is the 1st email body large?,0
439,Is the 2nd email body small?,1
440,Is the 2nd email body large?,0
441,Is the 3rd email body medium?,1
442,Is the 1st email body medium?,0
443,Is the 3rd email body medium?,1
444,Is the 1st email body medium?,1
445,Is the 3rd email body small?,1
446,Is the 3rd email body medium?,0
447,Is the 3rd email body small?,1
448,Is the 2nd email body large?,0
449,Is the 1st email body medium?,1
450,Is the 2nd email body small?,1
451,Is the 2nd email body large?,0
452,Is the 1st email body small?,0
453,Is the 3rd email body large?,0
454,Is the 1st email body small?,1
455,Is the 2nd email body large?,0
456,Is the 1st email body small?,0
457,Is the 2nd email body small?,0
458,Is the 1st email body large?,1
459,Is the 3rd email body medium?,1
460,Is the 1st email body small?,0
461,Is the 1st email body small?,1
462,Is the 1st email body small?,0
463,Is the 1st email body small?,0
464,Is the 2nd email body medium?,1
465,Is the 1st email body medium?,1
466,Is the 3rd email body medium?,1
467,Is the 1st email body small?,0
468,Is the 3rd email body medium?,1
469,Is the 2nd email body large?,0
470,Is the 3rd email body medium?,0
471,Is the 3rd email body medium?,0
472,Is the 3rd email body small?,0
473,Is the 1st email body small?,1
474,Is the 2nd email body medium?,1
475,Is the 3rd email body small?,0
476,Is the 2nd email body small?,1
477,Is the 2nd email body small?,0
478,Is the 1st email body small?,0
479,Is the 2nd email body small?,0
480,Is the 2nd email body small?,1
481,Is the 2nd email body medium?,0
482,Is the 1st email body large?,1
483,Is the 3rd email body medium?,0
484,Is the 1st email body large?,1
485,Is the 2nd email body medium?,1
486,Is the 2nd email body large?,1
487,Is the 1st email body small?,1
488,Is the 2nd email body large?,1
489,Is the 1st email body large?,1
490,Is the 3rd email body large?,0
491,Is the 3rd email body medium?,1
492,Is the 3rd email body medium?,0
493,Is the 1st email body large?,0
494,Is the 1st email body small?,1
495,Is the 1st email body small?,0
496,Is the 2nd email body large?,0
497,Is the 1st email body large?,1
498,Is the 2nd email body medium?,1
499,Is the 3rd email body large?,0
500,Is the 2nd email body medium?,0
501,Is the 2nd email body medium?,0
502,Is the 2nd email body small?,0
503,Is the 2nd email body medium?,1
504,Is the 3rd email body small?,0
505,Is the 3rd email body large?,0
506,Is the 1st email body large?,0
507,Is the 1st email body medium?,0
508,Is the 3rd email body medium?,1
509,Is the 3rd email body small?,1
510,Is the 2nd email body medium?,1
511,Is the 1st email body medium?,0
512,Is the 1st email body large?,1
513,Is the 1st email body small?,1
514,Is the 2nd email body small?,1
515,Is the 3rd email body small?,0
516,Is the 2nd email body medium?,1
517,Is the 3rd email body small?,1
518,Is the 1st email body large?,1
519,Is the 2nd email body large?,1
520,Is the 3rd email body large?,1
521,Is the 2nd email body medium?,1
522,Is the 2nd email body small?,1
523,Is the 1st email body medium?,0
524,Is the 1st email body small?,0
525,Is the 1st email body small?,1
526,Is the 3rd email body small?,1
527,Is the 3rd email body large?,0
528,Is the 1st email body large?,0
529,Is the 3rd email body large?,1
530,Is the 2nd email body small?,0
531,Is the 2nd email body medium?,0
532,Is the 1st email body small?,0
533,Is the 2nd email body small?,0
534,Is the 3rd email body large?,0
535,Is the 2nd email body small?,0
536,Is the 2nd email body medium?,0
537,Is the 1st email body large?,0
538,Is the 2nd email body small?,1
539,Is the 2nd email body medium?,1
540,Is the 3rd email body large?,1
541,Is the 2nd email body large?,1
542,Is the 3rd email body large?,1
543,Is the 2nd email body medium?,0
544,Is the 3rd email body medium?,0
545,Is the 2nd email body small?,1
546,Is the 2nd email body small?,1
547,Is the 1st email body large?,0
548,Is the 2nd email body small?,0
549,Is the 3rd email body large?,1
550,Is the 2nd email body small?,1
551,Is the 2nd email body large?,0
552,Is the 2nd email body small?,0
553,Is the 1st email body medium?,0
554,Is the 2nd email body medium?,0
555,Is the 3rd email body small?,0
556,Is the 1st email body medium?,1
557,Is the 1st email body large?,0
558,Is the 1st email body large?,1
559,Is the 3rd email body large?,0
560,Is the 3rd email body medium?,0
561,Is the 2nd email body small?,1
562,Is the 3rd email body small?,1
563,Is the 1st email body small?,0
564,Is the 3rd email body large?,0
565,Is the 1st email body small?,1
566,Is the 1st email body medium?,1
567,Is the 3rd email body small?,0
568,Is the 1st email body small?,1
569,Is the 1st email body small?,0
570,Is the 3rd email body large?,1
571,Is the 2nd email body small?,0
572,Is the 3rd email body medium?,1
573,Is the 3rd email body medium?,1
574,Is the 1st email body medium?,1
575,Is the 3rd email body medium?,1
576,Is the 3rd email body large?,1
577,Is the 1st email body medium?,1
578,Is the 3rd email body large?,0
579,Is the 2nd email body large?,1
580,Is the 2nd email body medium?,0
581,Is the 1st email body large?,1
582,Is the 2nd email body small?,1
583,Is the 1st email body small?,0
584,Is the 1st email body small?,0
585,Is the 2nd email body large?,0
586,Is the 2nd email body medium?,0
587,Is the 3rd email body small?,1
588,Is the 2nd email body small?,1
589,Is the 1st email body large?,1
590,Is the 3rd email body medium?,1
591,Is the 1st email body small?,0
592,Is the 1st email body large?,1
593,Is the 3rd email body medium?,1
594,Is the 2nd email body small?,0
595,Is the 2nd email body large?,1
596,Is the 1st email body small?,0
597,Is the 2nd email body large?,1
598,Is the 1st email body large?,1
599,Is the 3rd email body small?,1
600,Is the 1st email body small?,0
601,Is the 1st email body small?,1
602,Is the 1st email body small?,1
603,Is the 3rd email body small?,1
604,Is the 2nd email body large?,1
605,Is the 3rd email body large?,0
606,Is the 1st email body medium?,1
607,Is the 2nd email body small?,0
608,Is the 1st email body large?,1
609,Is the 2nd email body small?,0
610,Is the 1st email body medium?,0
611,Is the 3rd email body large?,0
612,Is the 3rd email body small?,1
613,Is the 3rd email body large?,0
614,Is the 1st email body medium?,0
615,Is the 3rd email body medium?,0
616,Is the 2nd email body small?,1
617,Is the 2nd email body small?,1
618,Is the 1st email body small?,1
619,Is the 2nd email body large?,1
620,Is the 3rd email body small?,0
621,Is the 3rd email body large?,0
622,Is the 1st email body medium?,0
623,Is the 2nd email body medium?,0
624,Is the 3rd email body large?,0
625,Is the 1st email body small?,0
626,Is the 2nd email body small?,0
627,Is the 1st email body small?,1
628,Is the 3rd email body small?,1
629,Is the 3rd email body medium?,1
630,Is the 1st email body large?,1
631,Is the 3rd email body large?,1
632,Is the 3rd email body large?,0
633,Is the 1st email body large?,1
634,Is the 2nd email body small?,1
635,Is the 3rd email body medium?,1
636,Is the 2nd email body medium?,0
637,Is the 1st email body small?,0
638,Is the 2nd email body small?,1
639,Is the 1st email body large?,1
640,Is the 1st email body medium?,1
641,Is the 1st email body medium?,1
642,Is the 1st email body large?,0
643,Is the 1st email body small?,0
644,Is the 1st email body medium?,1
645,Is the 2nd email body large?,1
646,Is the 3rd email body large?,0
647,Is the 3rd email body medium?,1
648,Is the 2nd email body small?,0
649,Is the 2nd email body small?,1
650,Is the 3rd email body large?,0
651,Is the 3rd email body medium?,0
652,Is the 1st email body medium?,0
653,Is the 3rd email body small?,0
654,Is the 1st email body medium?,1
655,Is the 1st email body small?,0
656,Is the 3rd email body small?,1
657,Is the 3rd email body large?,1
658,Is the 3rd email body large?,0
659,Is the 3rd email body large?,0
660,Is the 1st email body medium?,0
661,Is the 3rd email body medium?,1
662,Is the 1st email body large?,1
663,Is the 1st email body medium?,0
664,Is the 2nd email body medium?,0
665,Is the 2nd email body small?,1
666,Is the 1st email body large?,1
667,Is the 3rd email body medium?,0
668,Is the 1st email body large?,0
669,Is the 3rd email body medium?,1
670,Is the 2nd email body large?,1
671,Is the 1st email body large?,1
672,Is the 3rd email body small?,0
673,Is the 2nd email body medium?,1
674,Is the 1st email body large?,0
675,Is the 1st email body large?,0
676,Is the 2nd email body small?,0
677,Is the 1st email body small?,1
678,Is the 2nd email body large?,1
679,Is the 2nd email body small?,0
680,Is the 3rd email body medium?,0
681,Is the 3rd email body large?,0
682,Is the 1st email body medium?,1
683,Is the 1st email body large?,1
684,Is the 2nd email body large?,0
685,Is the 3rd email body large?,1
686,Is the 2nd email body small?,1
687,Is the 3rd email body small?,0
688,Is the 3rd email body medium?,0
689,Is the 3rd email body medium?,0
690,Is the 2nd email body medium?,0
691,Is the 1st email body medium?,1
692,Is the 1st email body small?,0
693,Is the 1st email body medium?,1
694,Is the 3rd email body small?,1
695,Is the 2nd email body medium?,1
696,Is the 1st email body small?,1
697,Is the 2nd email body small?,1
698,Is the 3rd email body large?,0
699,Is the 3rd email body small?,0
700,Is the 2nd email body large?,1
701,Is the 2nd email body medium?,1
702,Is the 2nd email body large?,0
703,Is the 3rd email body large?,1
704,Is the 3rd email body small?,0
705,Is the 3rd email body medium?,1
706,Is the 1st email body small?,0
707,Is the 3rd email body large?,0
708,Is the 2nd email body small?,0
709,Is the 3rd email body medium?,1
710,Is the 2nd email body large?,0
711,Is the 3rd email body small?,0
712,Is the 1st email body small?,0
713,Is the 3rd email body large?,1
714,Is the 3rd email body small?,0
715,Is the 2nd email body large?,0
716,Is the 2nd email body large?,1
717,Is the 3rd email body large?,0
718,Is the 2nd email body small?,0
719,Is the 2nd email body medium?,1
720,Is the 3rd email body small?,1
721,Is the 2nd email body medium?,0
722,Is the 1st email body small?,1
723,Is the 2nd email body small?,0
724,Is the 2nd email body small?,0
725,Is the 2nd email body small?,1
726,Is the 1st email body large?,1
727,Is the 2nd email body large?,1
728,Is the 3rd email body small?,0
729,Is the 3rd email body small?,0
730,Is the 1st email body large?,0
731,Is the 3rd email body medium?,0
732,Is the 2nd email body small?,1
733,Is the 1st email body large?,1
734,Is the 1st email body small?,1
735,Is the 3rd email body large?,1
736,Is the 2nd email body large?,1
737,Is the 2nd email body small?,0
738,Is the 3rd email body small?,0
739,Is the 2nd email body small?,1
740,Is the 1st email body large?,0
741,Is the 3rd email body small?,0
742,Is the 3rd email body medium?,1
743,Is the 1st email body medium?,1
744,Is the 3rd email body large?,0
745,Is the 1st email body medium?,0
746,Is the 3rd email body medium?,0
747,Is the 1st email body large?,1
748,Is the 2nd email body small?,1
749,Is the 1st email body medium?,1
750,Is the 2nd email body medium?,0
751,Is the 1st email body large?,0
752,Is the 1st email body large?,1
753,Is the 3rd email body large?,1
754,Is the 3rd email body medium?,0
755,Is the 2nd email body medium?,0
756,Is the 2nd email body small?,0
757,Is the 2nd email body small?,1
758,Is the 1st email body small?,0
759,Is the 2nd email body medium?,1
760,Is the 1st email body large?,1
761,Is the 1st email body medium?,1
762,Is the 2nd email body large?,1
763,Is the 3rd email body large?,0
764,Is the 1st email body small?,1
765,Is the 1st email body medium?,0
766,Is the 2nd email body small?,0
767,Is the 2nd email body medium?,0
768,Is the 1st email body medium?,1
769,Is the 2nd email body large?,0
770,Is the 1st email body medium?,1
771,Is the 1st email body medium?,1
772,Is the 2nd email body medium?,0
773,Is the 2nd email body large?,1
774,Is the 3rd email body small?,0
775,Is the 2nd email body medium?,0
776,Is the 2nd email body medium?,0
777,Is the 1st email body medium?,1
778,Is the 2nd email body medium?,1
779,Is the 2nd email body small?,1
780,Is the 1st email body small?,0
781,Is the 3rd email body medium?,0
782,Is the 2nd email body medium?,1
783,Is the 3rd email body large?,0
784,Is the 3rd email body medium?,0
785,Is the 3rd email body medium?,1
786,Is the 2nd email body large?,0
787,Is the 2nd email body medium?,0
788,Is the 2nd email body medium?,0
789,Is the 3rd email body large?,1
790,Is the 2nd email body large?,0
791,Is the 3rd email body medium?,1
792,Is the 2nd email body small?,1
793,Is the 3rd email body medium?,0
794,Is the 1st email body large?,1
795,Is the 3rd email body small?,0
796,Is the 1st email body medium?,1
797,Is the 2nd email body small?,0
798,Is the 1st email body small?,0
799,Is the 3rd email body large?,0
800,Is the 3rd email body medium?,1
801,Is the 3rd email body medium?,0
802,Is the 3rd email body small?,1
803,Is the 3rd email body small?,0
804,Is the 1st email body large?,0
805,Is the 3rd email body small?,0
806,Is the 1st email body large?,0
807,Is the 3rd email body small?,0
808,Is the 1st email body large?,1
809,Is the 3rd email body small?,0
810,Is the 3rd email body medium?,1
811,Is the 3rd email body medium?,0
812,Is the 1st email body small?,1
813,Is the 2nd email body small?,1
814,Is the 1st email body large?,0
815,Is the 2nd email body large?,1
816,Is the 2nd email body large?,1
817,Is the 2nd email body medium?,0
818,Is the 2nd email body medium?,1
819,Is the 1st email body medium?,0
820,Is the 3rd email body small?,1
821,Is the 2nd email body large?,0
822,Is the 3rd email body large?,1
823,Is the 1st email body small?,1
824,Is the 3rd email body small?,0
825,Is the 3rd email body medium?,1
826,Is the 1st email body small?,1
827,Is the 3rd email body large?,0
828,Is the 3rd email body small?,0
829,Is the 2nd email body large?,0
830,Is the 2nd email body medium?,1
831,Is the 2nd email body large?,1
832,Is the 3rd email body large?,0
833,Is the 2nd email body large?,0
834,Is the 1st email body small?,0
835,Is the 2nd email body small?,1
836,Is the 1st email body medium?,0
837,Is the 2nd email body small?,1
838,Is the 1st email body small?,1
839,Is the 2nd email body small?,0
840,Is the 3rd email body large?,1
841,Is the 3rd email body large?,1
842,Is the 1st email body medium?,1
843,Is the 3rd email body small?,1
844,Is the 3rd email body medium?,1
845,Is the 1st email body large?,0
846,Is the 3rd email body large?,0
847,Is the 1st email body large?,1
848,Is the 2nd email body small?,0
849,Is the 3rd email body large?,1
850,Is the 1st email body medium?,1
851,Is the 2nd email body large?,1
852,Is the 1st email body large?,1
853,Is the 1st email body medium?,1
854,Is the 2nd email body large?,1
855,Is the 2nd email body medium?,0
856,Is the 2nd email body small?,1
857,Is the 1st email body medium?,0
858,Is the 1st email body large?,0
859,Is the 2nd email body small?,0
860,Is the 2nd email body medium?,1
861,Is the 2nd email body large?,0
862,Is the 3rd email body small?,1
863,Is the 1st email body medium?,0
864,Is the 1st email body small?,1
865,Is the 1st email body small?,1
866,Is the 1st email body medium?,0
867,Is the 3rd email body small?,1
868,Is the 3rd email body large?,0
869,Is the 2nd email body small?,1
870,Is the 1st email body large?,1
871,Is the 1st email body large?,1
872,Is the 2nd email body small?,1
873,Is the 3rd email body medium?,0
